gp_id,gp_label,site_name,patient_count,rec_count,poor_pcg_count,poor_ecg_count,murmur_flag_count,low_ef_flag_count,af_flag_count,assigned_rec_count,assigned_poor_pcg_count,assigned_poor_ecg_count,assigned_murmur_flag_count,assigned_low_ef_flag_count,assigned_af_flag_count
574,GP-574,Uxendon Crescent Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
575,GP-575,Willesden Green Surgery,13,54,1,5,2,0,5,14,0,0,1,0,1
576,GP-576,Willesden Green Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
577,GP-577,Warren Practice,0,23,0,0,1,0,2,0,0,0,0,0,0
578,GP-578,St. Peter's Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
579,GP-579,Randolph Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
580,GP-580,Oxgate Gardens Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
581,GP-581,Roundwood Park Medical Centre,1,21,0,7,1,1,0,1,0,0,0,0,0
582,GP-582,Half Penny Steps Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0
583,GP-583,Premier Medical Centre,3,12,0,6,4,1,0,3,0,0,1,0,0
584,GP-584,Freuchen Medical Centre,1,7,0,2,0,1,1,1,0,1,0,0,0
585,GP-585,Wembley Park Drive Medical Centre,6,6,0,0,0,4,0,6,0,0,0,4,0
586,GP-586,Cuckoo Lane Practice,0,0,0,0,0,0,0,0,0,0,0,0,0
587,GP-587,Townfield Doctors Surgery,17,24,0,3,1,2,0,17,0,1,1,2,0
588,GP-588,Pinn Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
589,GP-589,Park Medical Centre,0,9,0,5,1,1,0,0,0,0,0,0,0
590,GP-590,Allendale Road Surgery,1,2,0,0,0,0,0,1,0,0,0,0,0
591,GP-591,West End Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
592,GP-592,Church End Medical Centre,1,27,0,3,4,0,0,1,0,0,0,0,0
593,GP-593,Canberra Old Oak Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
594,GP-594,Roxbourne Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
595,GP-595,North End Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
596,GP-596,Randolph Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
597,GP-597,Crosslands Surgery,42,93,4,10,10,3,7,43,1,0,3,0,2
598,GP-598,Pinn Medical Centre,1,8,0,1,0,1,0,1,0,0,0,0,0
599,GP-599,Otterfield Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
600,GP-600,Victoria Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
601,GP-601,Kingfisher Practice,1,1,0,0,0,0,0,1,0,0,0,0,0
602,GP-602,Otterfield Medical Centre,8,23,0,3,7,3,0,8,0,0,3,2,0
